t,Mercury_x,Mercury_y,Venus_x,Venus_y,Earth_x,Earth_y,Mars_x,Mars_y,Jupiter_x,Jupiter_y,Saturn_x,Saturn_y,Uranus_x,Uranus_y,Neptune_x,Neptune_y,sat_x,sat_y
1,57.7521,4.13302,108.158,3.02556,149.578,2.57329,227.89,2.08496,778.599,1.12803,1434,0.831192,2871,0.587435,4495,0.469474,148.106,1.05567
2,57.3095,8.24495,108.031,6.04876,149.511,5.14582,227.862,4.16975,778.597,2.25605,1434,1.66238,2871,1.17487,4495,0.938947,146.569,2.11463
3,56.5746,12.3148,107.819,9.06722,149.401,7.71683,227.814,6.25418,778.593,3.38407,1434,2.49358,2871,1.7623,4495,1.40842,144.985,3.17306
4,55.551,16.3219,107.524,12.0786,149.246,10.2856,227.747,8.3381,778.587,4.51208,1434,3.32477,2871,2.34974,4495,1.87789,143.355,4.23052
5,54.244,20.2456,107.144,15.0805,149.047,12.8512,227.662,10.4213,778.58,5.64008,1433.99,4.15596,2871,2.93717,4495,2.34737,141.676,5.28659
6,52.6603,24.0661,106.68,18.0707,148.804,15.4131,227.557,12.5037,778.571,6.76807,1433.99,4.98714,2871,3.52461,4495,2.81684,139.948,6.34083
7,50.8078,27.7637,106.133,21.0467,148.517,17.9704,227.433,14.585,778.56,7.89604,1433.99,5.81833,2871,4.11204,4495,3.28632,138.17,7.3928
8,48.6961,31.3198,105.503,24.0062,148.185,20.5224,227.29,16.665,778.548,9.024,1433.98,6.64952,2871,4.69947,4495,3.75579,136.34,8.44202
9,46.336,34.716,104.79,26.947,147.81,23.0684,227.128,18.7437,778.534,10.1519,1433.98,7.4807,2871,5.28691,4495,4.22526,134.457,9.48796
10,43.7394,37.9351,103.996,29.8666,147.392,25.6075,226.947,20.8208,778.518,11.2799,1433.98,8.31188,2870.99,5.87434,4495,4.69474,132.52,10.5301
11,40.9197,40.9606,103.12,32.763,146.93,28.139,226.747,22.8962,778.501,12.4078,1433.97,9.14305,2870.99,6.46178,4495,5.16421,130.526,11.5677
12,37.8912,43.7771,102.164,35.6337,146.424,30.6622,226.528,24.9696,778.482,13.5356,1433.97,9.97423,2870.99,7.04921,4495,5.63368,128.476,12.6003
13,34.6694,46.3703,101.127,38.4765,145.875,33.1763,226.29,27.041,778.462,14.6635,1433.96,10.8054,2870.99,7.63664,4495,6.10316,126.366,13.6271
14,31.2706,48.7268,100.012,41.2893,145.282,35.6806,226.033,29.1101,778.44,15.7913,1433.95,11.6366,2870.99,8.22407,4495,6.57263,124.195,14.6473
15,27.7123,50.8347,98.818,44.0697,144.647,38.1744,225.758,31.1768,778.416,16.9191,1433.95,12.4677,2870.99,8.81151,4494.99,7.0421,121.961,15.66
16,24.0126,52.6833,97.5471,46.8157,143.969,40.6568,225.463,33.2408,778.391,18.0468,1433.94,13.2989,2870.98,9.39894,4494.99,7.51158,119.662,16.6644
17,20.1904,54.263,96.1998,49.5251,143.248,43.1272,225.149,35.3021,778.364,19.1745,1433.93,14.13,2870.98,9.98637,4494.99,7.98105,117.296,17.6595
18,16.2652,55.5658,94.7774,52.1957,142.485,45.5849,224.817,37.3604,778.335,20.3022,1433.92,14.9612,2870.98,10.5738,4494.99,8.45052,114.861,18.6441
19,12.2569,56.5851,93.2808,54.8256,141.68,48.0291,224.466,39.4156,778.305,21.4298,1433.91,15.7923,2870.98,11.1612,4494.99,8.91999,112.353,19.6169
20,8.18617,57.3157,91.7112,57.4125,140.833,50.459,224.096,41.4675,778.273,22.5574,1433.9,16.6235,2870.98,11.7487,4494.99,9.38947,109.77,20.5766
21,4.07363,57.7539,90.07,59.9546,139.944,52.8741,223.707,43.5159,778.24,23.6849,1433.89,17.4546,2870.97,12.3361,4494.99,9.85894,107.109,21.5217
22,-0.0596882,57.8973,88.3583,62.4497,139.014,55.2734,223.3,45.5607,778.205,24.8124,1433.88,18.2857,2870.97,12.9235,4494.99,10.3284,104.366,22.4504
23,-4.1927,57.7453,86.5775,64.896,138.043,57.6565,222.874,47.6017,778.168,25.9398,1433.87,19.1169,2870.97,13.5109,4494.99,10.7979,101.539,23.3608
24,-8.30432,57.2986,84.729,67.2916,137.031,60.0224,222.429,49.6386,778.13,27.0672,1433.86,19.948,2870.97,14.0984,4494.99,11.2674,98.6224,24.2507
25,-12.3736,56.5596,82.8142,69.6345,135.978,62.3706,221.966,51.6715,778.09,28.1945,1433.85,20.7791,2870.96,14.6858,4494.98,11.7368,95.6127,25.1177
26,-16.3797,55.532,80.8347,71.923,134.885,64.7004,221.484,53.7,778.048,29.3217,1433.84,21.6102,2870.96,15.2732,4494.98,12.2063,92.5048,25.9588
27,-20.3022,54.221,78.7919,74.1552,133.752,67.011,220.983,55.724,778.005,30.4489,1433.82,22.4413,2870.96,15.8607,4494.98,12.6758,89.2936,26.771
28,-24.1211,52.6333,76.6875,76.3295,132.579,69.3018,220.464,57.7433,777.96,31.5761,1433.81,23.2724,2870.95,16.4481,4494.98,13.1452,85.9732,27.5503
29,-27.817,50.7771,74.5232,78.444,131.368,71.5721,219.927,59.7578,777.913,32.7031,1433.8,24.1034,2870.95,17.0355,4494.98,13.6147,82.5369,28.2925
30,-31.3709,48.6618,72.3006,80.4972,130.117,73.8211,219.371,61.7673,777.865,33.8301,1433.78,24.9345,2870.95,17.6229,4494.98,14.0842,78.9774,28.9924
31,-34.7647,46.2982,70.0214,82.4874,128.828,76.0484,218.797,63.7717,777.815,34.957,1433.77,25.7656,2870.94,18.2104,4494.98,14.5537,75.2865,29.644
32,-37.9811,43.6983,67.6875,84.4131,127.501,78.2531,218.204,65.7707,777.764,36.0839,1433.75,26.5966,2870.94,18.7978,4494.97,15.0231,71.4546,30.24
33,-41.0038,40.8755,65.3007,86.2728,126.136,80.4347,217.593,67.7642,777.711,37.2107,1433.74,27.4277,2870.93,19.3852,4494.97,15.4926,67.471,30.7717
34,-43.8172,37.8441,62.8628,88.0651,124.734,82.5925,216.964,69.752,777.656,38.3374,1433.72,28.2587,2870.93,19.9726,4494.97,15.9621,63.3234,31.2284
35,-46.407,34.6196,60.3757,89.7884,123.295,84.7259,216.317,71.734,777.6,39.464,1433.7,29.0897,2870.93,20.56,4494.97,16.4315,58.9973,31.597
36,-48.76,31.2184,57.8414,91.4416,121.819,86.8341,215.652,73.71,777.542,40.5905,1433.69,29.9208,2870.92,21.1475,4494.97,16.901,54.476,31.8608
37,-50.8643,27.658,55.2619,93.0232,120.308,88.9167,214.969,75.6798,777.482,41.717,1433.67,30.7518,2870.92,21.7349,4494.97,17.3705,49.7397,31.9984
38,-52.709,23.9564,52.6391,94.5321,118.76,90.973,214.267,77.6433,777.421,42.8433,1433.65,31.5828,2870.91,22.3223,4494.96,17.84,44.7648,31.982
39,-54.2847,20.1326,49.9752,95.967,117.178,93.0024,213.548,79.6002,777.358,43.9696,1433.63,32.4138,2870.91,22.9097,4494.96,18.3094,39.523,31.7742
40,-55.5834,16.2061,47.2722,97.3269,115.561,95.0042,212.811,81.5506,777.293,45.0958,1433.61,33.2447,2870.9,23.4971,4494.96,18.7789,33.9805,31.3232
41,-56.5986,12.1969,44.5323,98.6107,113.91,96.9779,212.056,83.494,777.227,46.2219,1433.59,34.0757,2870.9,24.0845,4494.96,19.2484,28.0962,30.5549
42,-57.3249,8.1254,41.7575,99.8173,112.225,98.9229,211.284,85.4305,777.16,47.3478,1433.57,34.9066,2870.89,24.672,4494.96,19.7178,21.8224,29.3582
43,-57.7588,4.01248,38.9501,100.946,110.506,100.839,210.493,87.3599,777.09,48.4737,1433.55,35.7376,2870.89,25.2594,4494.95,20.1873,15.1077,27.5581
44,-57.8979,-0.120908,36.1122,101.996,108.756,102.725,209.685,89.2819,777.019,49.5995,1433.53,36.5685,2870.88,25.8468,4494.95,20.6568,7.91682,24.8602
45,-57.7416,-4.25368,33.246,102.965,106.973,104.58,208.86,91.1965,776.947,50.7252,1433.51,37.3994,2870.88,26.4342,4494.95,21.1262,0.312015,20.7413
46,-57.2907,-8.36475,30.3539,103.855,105.158,106.405,208.017,93.1034,776.872,51.8508,1433.49,38.2303,2870.87,27.0216,4494.95,21.5957,-7.21757,14.2888
47,-56.5475,-12.4331,27.438,104.663,103.312,108.198,207.157,95.0026,776.796,52.9762,1433.47,39.0612,2870.87,27.609,4494.95,22.0652,-12.8231,4.61495
48,-55.5157,-16.4381,24.5007,105.389,101.436,109.959,206.279,96.8938,776.719,54.1016,1433.44,39.8921,2870.86,28.1964,4494.94,22.5346,-13.8856,-6.64693
49,-54.2007,-20.3592,21.5442,106.033,99.5293,111.687,205.384,98.7769,776.64,55.2268,1433.42,40.723,2870.86,28.7838,4494.94,23.0041,-11.2276,-16.4347
50,-52.6091,-24.1764,18.5709,106.594,97.5935,113.383,204.472,100.652,776.559,56.352,1433.4,41.5538,2870.85,29.3712,4494.94,23.4736,-7.03625,-24.2117
51,-50.7491,-27.8702,15.583,107.071,95.6288,115.045,203.543,102.518,776.476,57.477,1433.37,42.3847,2870.84,29.9586,4494.94,23.943,-2.36069,-30.4788
52,-48.6301,-31.4218,12.583,107.465,93.6358,116.673,202.596,104.376,776.392,58.6019,1433.35,43.2155,2870.84,30.546,4494.93,24.4125,2.41399,-35.6759
53,-46.2631,-34.8132,9.57312,107.775,91.6151,118.266,201.633,106.225,776.307,59.7266,1433.32,44.0463,2870.83,31.1334,4494.93,24.882,7.14286,-40.0917
54,-43.6599,-38.0268,6.55576,108.001,89.5672,119.824,200.653,108.065,776.219,60.8513,1433.29,44.8771,2870.82,31.7208,4494.93,25.3514,11.7696,-43.9145
55,-40.834,-41.0465,3.53328,108.142,87.4929,121.347,199.656,109.896,776.13,61.9758,1433.27,45.7079,2870.82,32.3082,4494.93,25.8209,16.2734,-47.2713
56,-37.7998,-43.8567,0.508031,108.198,85.3927,122.834,198.643,111.718,776.04,63.1001,1433.24,46.5386,2870.81,32.8956,4494.92,26.2904,20.6487,-50.2513
57,-34.5727,-46.4432,-2.51761,108.17,83.2672,124.285,197.612,113.531,775.948,64.2244,1433.21,47.3694,2870.8,33.483,4494.92,26.7598,24.8967,-52.9195
58,-31.1692,-48.7927,-5.54128,108.057,81.1171,125.699,196.566,115.334,775.854,65.3485,1433.19,48.2001,2870.8,34.0704,4494.92,27.2293,29.0214,-55.3247
59,-27.6066,-50.8932,-8.56062,107.86,78.943,127.076,195.502,117.127,775.758,66.4725,1433.16,49.0308,2870.79,34.6578,4494.91,27.6988,33.0283,-57.5045
60,-23.9032,-52.7341,-11.5733,107.578,76.7456,128.415,194.423,118.911,775.661,67.5963,1433.13,49.8615,2870.78,35.2452,4494.91,28.1682,36.923,-59.4884
61,-20.0779,-54.3059,-14.5768,107.212,74.5254,129.716,193.327,120.685,775.563,68.72,1433.1,50.6922,2870.78,35.8326,4494.91,28.6377,40.711,-61.3002
62,-16.15,-55.6006,-17.569,106.763,72.2832,130.979,192.215,122.448,775.462,69.8436,1433.07,51.5229,2870.77,36.42,4494.91,29.1072,44.3978,-62.9594
63,-12.1398,-56.6116,-20.5475,106.23,70.0195,132.202,191.087,124.202,775.36,70.967,1433.04,52.3535,2870.76,37.0074,4494.9,29.5766,47.9884,-64.482
64,-8.06767,-57.3338,-23.5098,105.613,67.7352,133.387,189.943,125.944,775.257,72.0902,1433.01,53.1842,2870.75,37.5947,4494.9,30.0461,51.4874,-65.8813
65,-3.95435,-57.7635,-26.4538,104.915,65.4308,134.533,188.783,127.677,775.151,73.2133,1432.98,54.0148,2870.75,38.1821,4494.9,30.5156,54.8991,-67.1689
66,0.179154,-57.8984,-29.3771,104.134,63.1071,135.638,187.607,129.399,775.045,74.3363,1432.95,54.8454,2870.74,38.7695,4494.89,30.985,58.2275,-68.3544
67,4.31174,-57.7379,-32.2774,103.272,60.7647,136.704,186.415,131.109,774.936,75.4591,1432.91,55.6759,2870.73,39.3569,4494.89,31.4545,61.4762,-69.4463
68,8.42233,-57.2828,-35.1525,102.328,58.4043,137.729,185.208,132.809,774.826,76.5817,1432.88,56.5065,2870.72,39.9443,4494.89,31.9239,64.6485,-70.4519
69,12.49,-56.5355,-38,101.305,56.0267,138.713,183.986,134.498,774.714,77.7042,1432.85,57.337,2870.71,40.5316,4494.88,32.3934,67.7475,-71.3776
70,16.4938,-55.4997,-40.8179,100.203,53.6324,139.656,182.748,136.176,774.601,78.8265,1432.81,58.1676,2870.7,41.119,4494.88,32.8629,70.7761,-72.229
71,20.4136,-54.1807,-43.6038,99.0223,51.2223,140.558,181.495,137.842,774.486,79.9486,1432.78,58.9981,2870.7,41.7064,4494.88,33.3323,73.7369,-73.0112
72,24.2292,-52.5853,-46.3556,97.7642,48.7971,141.418,180.226,139.496,774.369,81.0706,1432.75,59.8285,2870.69,42.2938,4494.87,33.8018,76.6322,-73.7286
73,27.9211,-50.7215,-49.0712,96.4296,46.3574,142.237,178.943,141.139,774.251,82.1924,1432.71,60.659,2870.68,42.8811,4494.87,34.2712,79.4645,-74.3852
74,31.4706,-48.599,-51.7483,95.0195,43.904,143.013,177.644,142.77,774.131,83.3141,1432.68,61.4894,2870.67,43.4685,4494.87,34.7407,82.2356,-74.9846
75,34.8596,-46.2285,-54.385,93.5352,41.4376,143.747,176.331,144.39,774.01,84.4355,1432.64,62.3199,2870.66,44.0559,4494.86,35.2102,84.9477,-75.5302
76,38.0707,-43.6222,-56.9792,91.9777,38.9589,144.438,175.003,145.997,773.887,85.5568,1432.6,63.1503,2870.65,44.6432,4494.86,35.6796,87.6024,-76.0247
77,41.0875,-40.7932,-59.5288,90.3482,36.4687,145.087,173.66,147.592,773.762,86.6779,1432.57,63.9806,2870.64,45.2306,4494.85,36.1491,90.2016,-76.471
78,43.8947,-37.7562,-62.0318,88.6481,33.9677,145.693,172.302,149.174,773.636,87.7988,1432.53,64.811,2870.63,45.818,4494.85,36.6185,92.7466,-76.8715
79,46.4779,-34.5265,-64.4864,86.8787,31.4567,146.256,170.931,150.744,773.508,88.9196,1432.49,65.6413,2870.62,46.4053,4494.85,37.088,95.2392,-77.2283
80,48.8241,-31.1206,-66.8904,85.0413,28.9364,146.775,169.545,152.301,773.378,90.0401,1432.45,66.4716,2870.61,46.9927,4494.84,37.5575,97.6805,-77.5437
81,50.921,-27.556,-69.2422,83.1374,26.4075,147.251,168.145,153.846,773.247,91.1605,1432.41,67.3019,2870.6,47.58,4494.84,38.0269,100.072,-77.8194
82,52.7582,-23.8507,-71.5398,81.1684,23.8708,147.683,166.73,155.378,773.114,92.2806,1432.37,68.1322,2870.59,48.1674,4494.83,38.4964,102.415,-78.0573
83,54.3262,-20.0238,-73.7814,79.136,21.327,148.072,165.302,156.897,772.98,93.4006,1432.33,68.9625,2870.58,48.7547,4494.83,38.9658,104.71,-78.2589
84,55.6171,-16.0947,-75.9653,77.0417,18.7769,148.417,163.86,158.402,772.844,94.5204,1432.29,69.7927,2870.57,49.3421,4494.83,39.4353,106.959,-78.4258
85,56.6241,-12.0835,-78.0898,74.8871,16.2213,148.718,162.404,159.895,772.706,95.64,1432.25,70.6229,2870.56,49.9294,4494.82,39.9047,109.162,-78.5594
86,57.3423,-8.0106,-80.1533,72.674,13.6609,148.975,160.935,161.374,772.567,96.7594,1432.21,71.453,2870.55,50.5168,4494.82,40.3742,111.321,-78.6611
87,57.7679,-3.89685,-82.154,70.404,11.0964,149.188,159.452,162.839,772.426,97.8785,1432.17,72.2832,2870.54,51.1041,4494.81,40.8437,113.436,-78.7319
88,57.8988,0.23677,-84.0905,68.0789,8.52866,149.357,157.956,164.291,772.283,98.9975,1432.13,73.1133,2870.53,51.6915,4494.81,41.3131,115.509,-78.7731
89,57.7342,4.36919,-85.9612,65.7006,5.95839,149.481,156.446,165.729,772.139,100.116,1432.08,73.9434,2870.52,52.2788,4494.81,41.7826,117.54,-78.7857
90,57.2751,8.47931,-87.7646,63.2709,3.38636,149.561,154.924,167.153,771.993,101.235,1432.04,74.7735,2870.51,52.8661,4494.8,42.252,119.53,-78.7708
91,56.5238,12.5462,-89.4994,60.7917,0.813321,149.597,153.388,168.564,771.846,102.353,1432,75.6036,2870.5,53.4535,4494.8,42.7215,121.479,-78.7293
92,55.4841,16.549,-91.1642,58.2649,-1.75995,149.589,151.84,169.96,771.697,103.471,1431.95,76.4336,2870.49,54.0408,4494.79,43.1909,123.388,-78.662
93,54.1613,20.4674,-92.7577,55.6926,-4.3327,149.537,150.279,171.342,771.546,104.589,1431.91,77.2636,2870.48,54.6281,4494.79,43.6604,125.259,-78.5699
94,52.5622,24.2814,-94.2786,53.0767,-6.90417,149.44,148.706,172.709,771.394,105.707,1431.86,78.0936,2870.47,55.2155,4494.78,44.1298,127.091,-78.4537
95,50.6949,27.9716,-95.7258,50.4193,-9.47359,149.299,147.12,174.063,771.24,106.824,1431.82,78.9235,2870.46,55.8028,4494.78,44.5993,128.886,-78.3142
96,48.5689,31.519,-97.098,47.7224,-12.0402,149.114,145.521,175.401,771.084,107.942,1431.77,79.7534,2870.44,56.3901,4494.77,45.0687,130.643,-78.152
97,46.1952,34.9055,-98.3944,44.9883,-14.6033,148.885,143.911,176.725,770.927,109.059,1431.72,80.5833,2870.43,56.9774,4494.77,45.5382,132.364,-77.9679
98,43.5858,38.1141,-99.6137,42.2189,-17.162,148.611,142.288,178.034,770.768,110.175,1431.68,81.4132,2870.42,57.5647,4494.76,46.0076,134.048,-77.7625
99,40.754,41.1281,-100.755,39.4165,-19.7156,148.294,140.654,179.328,770.608,111.292,1431.63,82.2431,2870.41,58.1521,4494.76,46.4771,135.697,-77.5364
100,37.7143,43.9323,-101.818,36.5833,-22.2635,147.933,139.008,180.607,770.446,112.408,1431.58,83.0729,2870.4,58.7394,4494.75,46.9465,137.31,-77.2901
101,34.4822,46.5124,-102.801,33.7214,-24.8047,147.528,137.35,181.872,770.283,113.524,1431.53,83.9027,2870.39,59.3267,4494.75,47.416,138.889,-77.0243
102,31.0742,48.8552,-103.703,30.8332,-27.3386,147.079,135.68,183.12,770.117,114.64,1431.48,84.7324,2870.37,59.914,4494.74,47.8854,140.433,-76.7394
103,27.5076,50.9487,-104.525,27.9208,-29.8644,146.587,134,184.354,769.95,115.756,1431.43,85.5621,2870.36,60.5013,4494.74,48.3549,141.944,-76.436
104,23.8007,52.7823,-105.264,24.9866,-32.3813,146.052,132.308,185.572,769.782,116.871,1431.38,86.3918,2870.35,61.0886,4494.73,48.8243,143.42,-76.1145
105,19.9724,54.3467,-105.922,22.0329,-34.8887,145.473,130.605,186.775,769.612,117.986,1431.33,87.2215,2870.34,61.6759,4494.73,49.2938,144.864,-75.7754
106,16.0421,55.6337,-106.496,19.0619,-37.3857,144.851,128.891,187.962,769.44,119.101,1431.28,88.0512,2870.32,62.2632,4494.72,49.7632,146.275,-75.4191
107,12.0301,56.6369,-106.987,16.076,-39.8717,144.187,127.166,189.133,769.267,120.216,1431.23,88.8808,2870.31,62.8505,4494.72,50.2326,147.653,-75.046
108,7.95664,57.3512,-107.395,13.0776,-42.3459,143.48,125.431,190.288,769.092,121.33,1431.18,89.7104,2870.3,63.4378,4494.71,50.7021,148.999,-74.6566
109,3.84261,57.7729,-107.718,10.0689,-44.8075,142.73,123.685,191.428,768.916,122.444,1431.13,90.5399,2870.28,64.0251,4494.71,51.1715,150.314,-74.2511
110,-0.291026,57.8998,-107.957,7.05232,-47.2559,141.938,121.929,192.551,768.737,123.558,1431.07,91.3694,2870.27,64.6124,4494.7,51.641,151.596,-73.8301
111,-4.42317,57.7314,-108.112,4.03023,-49.6903,141.104,120.163,193.658,768.558,124.672,1431.02,92.1989,2870.26,65.1997,4494.7,52.1104,152.847,-73.3938
112,-8.53275,57.2684,-108.182,1.005,-52.11,140.228,118.386,194.749,768.376,125.785,1430.97,93.0284,2870.24,65.7869,4494.69,52.5799,154.068,-72.9426
113,-12.5988,56.5133,-108.167,-2.02103,-54.5143,139.311,116.6,195.824,768.193,126.898,1430.91,93.8578,2870.23,66.3742,4494.69,53.0493,155.257,-72.4768
114,-16.6006,55.4698,-108.068,-5.04547,-56.9025,138.352,114.804,196.883,768.009,128.011,1430.86,94.6872,2870.22,66.9615,4494.68,53.5187,156.416,-71.9967
115,-20.5176,54.1433,-107.885,-8.06597,-59.2738,137.353,112.998,197.925,767.823,129.124,1430.8,95.5166,2870.2,67.5488,4494.68,53.9882,157.544,-71.5027
116,-24.33,52.5407,-107.616,-11.0802,-61.6275,136.313,111.183,198.95,767.635,130.236,1430.75,96.3459,2870.19,68.136,4494.67,54.4576,158.643,-70.995
117,-28.0183,50.6699,-107.264,-14.0857,-63.963,135.233,109.359,199.959,767.445,131.348,1430.69,97.1752,2870.18,68.7233,4494.66,54.9271,159.711,-70.4738
118,-31.5636,48.5407,-106.828,-17.0802,-66.2796,134.112,107.525,200.951,767.254,132.46,1430.63,98.0045,2870.16,69.3106,4494.66,55.3965,160.75,-69.9396
119,-34.9479,46.1638,-106.308,-20.0613,-68.5766,132.952,105.682,201.926,767.062,133.571,1430.57,98.8338,2870.15,69.8978,4494.65,55.8659,161.759,-69.3925
120,-38.1539,43.5514,-105.705,-23.0267,-70.8533,131.753,103.831,202.884,766.867,134.682,1430.52,99.663,2870.13,70.4851,4494.65,56.3354,162.739,-68.8327
121,-41.1653,40.7168,-105.019,-25.9741,-73.109,130.514,101.971,203.826,766.672,135.793,1430.46,100.492,2870.12,71.0723,4494.64,56.8048,163.689,-68.2606
122,-43.9666,37.6745,-104.251,-28.9012,-75.3431,129.237,100.102,204.75,766.474,136.904,1430.4,101.321,2870.1,71.6596,4494.63,57.2742,164.61,-67.6764
123,-46.5436,34.44,-103.402,-31.8057,-77.5549,127.922,98.2253,205.657,766.275,138.014,1430.34,102.15,2870.09,72.2469,4494.63,57.7437,165.503,-67.0803
124,-48.8832,31.0297,-102.472,-34.6853,-79.7437,126.569,96.34,206.547,766.074,139.124,1430.28,102.979,2870.07,72.8341,4494.62,58.2131,166.367,-66.4725
125,-50.9733,27.4612,-101.461,-37.5378,-81.9089,125.178,94.4467,207.419,765.872,140.234,1430.22,103.808,2870.06,73.4213,4494.62,58.6826,167.202,-65.8533
126,-52.8034,23.7525,-100.371,-40.3608,-84.0499,123.751,92.5455,208.275,765.668,141.343,1430.16,104.637,2870.04,74.0086,4494.61,59.152,168.008,-65.2228
127,-54.3641,19.9227,-99.2026,-43.1523,-86.166,122.286,90.6366,209.112,765.463,142.452,1430.1,105.466,2870.03,74.5958,4494.6,59.6214,168.786,-64.5813
128,-55.6474,15.9912,-97.9565,-45.9101,-88.2566,120.786,88.7201,209.933,765.256,143.561,1430.04,106.295,2870.01,75.1831,4494.6,60.0909,169.536,-63.929
129,-56.6468,11.9782,-96.6337,-48.6319,-90.3211,119.25,86.7961,210.736,765.047,144.67,1429.98,107.124,2870,75.7703,4494.59,60.5603,170.258,-63.266
130,-57.3572,7.90397,-95.2354,-51.3157,-92.3589,117.678,84.8649,211.521,764.837,145.778,1429.91,107.953,2869.98,76.3575,4494.58,61.0297,170.951,-62.5925
131,-57.7749,3.78946,-93.7625,-53.9593,-94.3693,116.072,82.9266,212.288,764.625,146.886,1429.85,108.782,2869.97,76.9447,4494.58,61.4991,171.616,-61.9087
132,-57.8979,-0.34438,-92.2162,-56.5606,-96.3518,114.431,80.9814,213.038,764.411,147.993,1429.79,109.611,2869.95,77.532,4494.57,61.9686,172.253,-61.2149
133,-57.7255,-4.47647,-90.5978,-59.1178,-98.3058,112.757,79.0293,213.77,764.196,149.101,1429.72,110.439,2869.93,78.1192,4494.57,62.438,172.863,-60.5111
134,-57.2585,-8.58571,-88.9085,-61.6286,-100.231,111.049,77.0707,214.484,763.979,150.208,1429.66,111.268,2869.92,78.7064,4494.56,62.9074,173.444,-59.7976
135,-56.4994,-12.6512,-87.1496,-64.0913,-102.126,109.308,75.1056,215.179,763.761,151.314,1429.59,112.097,2869.9,79.2936,4494.55,63.3769,173.998,-59.0744
136,-55.452,-16.652,-85.3226,-66.5038,-103.991,107.535,73.1343,215.857,763.541,152.421,1429.53,112.926,2869.89,79.8808,4494.55,63.8463,174.524,-58.3419
137,-54.1216,-20.568,-83.4287,-68.8642,-105.825,105.73,71.1568,216.517,763.32,153.527,1429.46,113.754,2869.87,80.468,4494.54,64.3157,175.022,-57.6
138,-52.5151,-24.379,-81.4696,-71.1708,-107.628,103.894,69.1733,217.159,763.096,154.632,1429.39,114.583,2869.85,81.0552,4494.53,64.7851,175.492,-56.8491
139,-50.6407,-28.0655,-79.4467,-73.4216,-109.399,102.027,67.1841,217.783,762.872,155.738,1429.33,115.411,2869.84,81.6424,4494.53,65.2546,175.935,-56.0891
140,-48.5079,-31.6089,-77.3616,-75.615,-111.138,100.13,65.1893,218.388,762.645,156.843,1429.26,116.24,2869.82,82.2296,4494.52,65.724,176.35,-55.3204
141,-46.1275,-34.991,-75.216,-77.7493,-112.844,98.2029,63.189,218.975,762.417,157.948,1429.19,117.068,2869.8,82.8168,4494.51,66.1934,176.737,-54.5429
142,-43.5118,-38.1946,-73.0116,-79.8227,-114.516,96.2471,61.1834,219.544,762.188,159.052,1429.12,117.897,2869.78,83.404,4494.5,66.6628,177.097,-53.7569
143,-40.674,-41.2032,-70.75,-81.8336,-116.154,94.2627,59.1727,220.094,761.957,160.156,1429.05,118.725,2869.77,83.9912,4494.5,67.1323,177.429,-52.9625
144,-37.6288,-44.0017,-68.433,-83.7805,-117.758,92.2505,57.157,220.626,761.724,161.26,1428.99,119.553,2869.75,84.5784,4494.49,67.6017,177.733,-52.1599
145,-34.3915,-46.5756,-66.0625,-85.6618,-119.328,90.2109,55.1366,221.14,761.49,162.363,1428.92,120.382,2869.73,85.1656,4494.48,68.0711,178.01,-51.3491
146,-30.9787,-48.9118,-63.6403,-87.4761,-120.862,88.1447,53.1116,221.635,761.254,163.466,1428.85,121.21,2869.72,85.7527,4494.48,68.5405,178.259,-50.5303
147,-27.4078,-50.9984,-61.1683,-89.2219,-122.36,86.0523,51.0821,222.112,761.016,164.569,1428.77,122.038,2869.7,86.3399,4494.47,69.0099,178.48,-49.7036
148,-23.6971,-52.8249,-58.6484,-90.8979,-123.822,83.9345,49.0483,222.569,760.777,165.671,1428.7,122.866,2869.68,86.9271,4494.46,69.4794,178.673,-48.8692
149,-19.8654,-54.3817,-56.0826,-92.5028,-125.247,81.7919,47.0104,223.009,760.536,166.773,1428.63,123.694,2869.66,87.5142,4494.45,69.9488,178.839,-48.0272
150,-15.9324,-55.6611,-53.4729,-94.0352,-126.635,79.625,44.9686,223.429,760.294,167.875,1428.56,124.522,2869.64,88.1014,4494.45,70.4182,178.977,-47.1777
151,-11.9181,-56.6564,-50.8214,-95.4941,-127.986,77.4346,42.9231,223.831,760.05,168.976,1428.49,125.35,2869.63,88.6886,4494.44,70.8876,179.086,-46.3208
152,-7.84298,-57.3626,-48.1301,-96.8783,-129.299,75.2213,40.8739,224.214,759.805,170.077,1428.41,126.178,2869.61,89.2757,4494.43,71.357,179.168,-45.4566
153,-3.72782,-57.7761,-45.4011,-98.1866,-130.574,72.9857,38.8214,224.579,759.557,171.178,1428.34,127.006,2869.59,89.8629,4494.42,71.8264,179.221,-44.5854
154,0.406357,-57.8948,-42.6366,-99.4181,-131.809,70.7285,36.7656,224.924,759.309,172.278,1428.27,127.834,2869.57,90.45,4494.42,72.2958,179.247,-43.7071
155,4.53846,-57.7181,-39.8387,-100.572,-133.006,68.4504,34.7067,225.251,759.058,173.378,1428.19,128.662,2869.55,91.0371,4494.41,72.7653,179.244,-42.8219
156,8.64741,-57.2468,-37.0097,-101.647,-134.164,66.152,32.6449,225.559,758.807,174.478,1428.12,129.49,2869.53,91.6243,4494.4,73.2347,179.212,-41.9299
